age,sex,strata,mortality per 1 rate,pYLD rate,APC in all-cause mortality,expenditure_rate,expenditure_rate_death,income,income_death
64,male,maori,0.019728728,0.019227347,-0.0035772,1987.570247,26925.93489,34094.34125,9008.663498
65,male,maori,0.029872102,0.027652422,-0.0016543,2722.358175,25369.28622,0,0
66,male,maori,0.029872102,0.027652422,-0.0016543,2722.358175,25369.28622,0,0
67,male,maori,0.029872102,0.027652422,-0.0016543,2722.358175,25369.28622,0,0
68,male,maori,0.029872102,0.027652422,-0.0016543,2722.358175,25369.28622,0,0
69,male,maori,0.029872102,0.027652422,-0.0016543,2722.358175,25369.28622,0,0
70,male,maori,0.043323318,0.040487867,0.0017302,3386.954753,24229.34316,0,0
71,male,maori,0.043323318,0.040487867,0.0017302,3386.954753,24229.34316,0,0
72,male,maori,0.043323318,0.040487867,0.0017302,3386.954753,24229.34316,0,0
73,male,maori,0.043323318,0.040487867,0.0017302,3386.954753,24229.34316,0,0
74,male,maori,0.043323318,0.040487867,0.0017302,3386.954753,24229.34316,0,0
75,male,maori,0.062421331,0.05858899,0.0033153,3896.952662,20339.49848,0,0
76,male,maori,0.062421331,0.05858899,0.0033153,3896.952662,20339.49848,0,0
77,male,maori,0.062421331,0.05858899,0.0033153,3896.952662,20339.49848,0,0
78,male,maori,0.062421331,0.05858899,0.0033153,3896.952662,20339.49848,0,0
79,male,maori,0.062421331,0.05858899,0.0033153,3896.952662,20339.49848,0,0
80,male,maori,0.098854086,0.092250588,0.001413,4201.70751,16440.76882,0,0
81,male,maori,0.098854086,0.092250588,0.001413,4201.70751,16440.76882,0,0
82,male,maori,0.098854086,0.092250588,0.001413,4201.70751,16440.76882,0,0
83,male,maori,0.098854086,0.092250588,0.001413,4201.70751,16440.76882,0,0
84,male,maori,0.098854086,0.092250588,0.001413,4201.70751,16440.76882,0,0
85,male,maori,0.162032248,0.152321072,0.000775,4376.741635,13443.86473,0,0
86,male,maori,0.162032248,0.152321072,0.000775,4376.741635,13443.86473,0,0
87,male,maori,0.162032248,0.152321072,0.000775,4376.741635,13443.86473,0,0
88,male,maori,0.162032248,0.152321072,0.000775,4376.741635,13443.86473,0,0
89,male,maori,0.162032248,0.152321072,0.000775,4376.741635,13443.86473,0,0
90,male,maori,0.189368949,0.182431356,0.0014101,4350.97519,10421.1942,0,0
91,male,maori,0.189368949,0.182431356,0.0014101,4350.97519,10421.1942,0,0
92,male,maori,0.189368949,0.182431356,0.0014101,4350.97519,10421.1942,0,0
93,male,maori,0.189368949,0.182431356,0.0014101,4350.97519,10421.1942,0,0
94,male,maori,0.189368949,0.182431356,0.0014101,4350.97519,10421.1942,0,0
95,male,maori,0.182881109,0.179031504,0.0040321,3946.708555,7810.786787,0,0
96,male,maori,0.182881109,0.179031504,0.0040321,3946.708555,7810.786787,0,0
97,male,maori,0.182881109,0.179031504,0.0040321,3946.708555,7810.786787,0,0
98,male,maori,0.182881109,0.179031504,0.0040321,3946.708555,7810.786787,0,0
99,male,maori,0.182881109,0.179031504,0.0040321,3946.708555,7810.786787,0,0
100,male,maori,0.182881109,0.179031504,0.0040321,3946.708555,7810.786787,0,0
101,male,maori,0.182881109,0.179031504,0.0040321,3946.708555,7810.786787,0,0
102,male,maori,0.182881109,0.179031504,0.0040321,3946.708555,7810.786787,0,0
103,male,maori,0.182881109,0.179031504,0.0040321,3946.708555,7810.786787,0,0
104,male,maori,0.182881109,0.179031504,0.0040321,3946.708555,7810.786787,0,0
105,male,maori,0.182881109,0.179031504,0.0040321,3946.708555,7810.786787,0,0
106,male,maori,0.182881109,0.179031504,0.0040321,3946.708555,7810.786787,0,0
107,male,maori,0.182881109,0.179031504,0.0040321,3946.708555,7810.786787,0,0
108,male,maori,0.182881109,0.179031504,0.0040321,3946.708555,7810.786787,0,0
109,male,maori,0.182881109,0.179031504,0.0040321,3946.708555,7810.786787,0,0
110,male,maori,0.182881109,0.179031504,0.0040321,3946.708555,7810.786787,0,0
