sheet,year,totalSmoke,DU-->FSFV,DU-->FSCV,CS-->FSCV,CS-->FSFV,DU-->CS,CS-->DU
non-maori_female22,61,0.0079,0.1072,0.1286,0.0268,0.0268,0.0395,0.0315
non-maori_female22,62,0.0073,0.1105,0.1326,0.0276,0.0276,0.0424,0.0316
non-maori_female22,63,0.0068,0.1141,0.1369,0.0285,0.0285,0.0456,0.0317
non-maori_female22,64,0.0063,0.1178,0.1414,0.0295,0.0295,0.0491,0.0318
non-maori_female22,65,0.0058,0.1218,0.1462,0.0305,0.0305,0.0532,0.032
non-maori_female22,66,0.0054,0.126,0.1513,0.0315,0.0315,0.0576,0.0321
non-maori_female22,67,0.005,0.1306,0.1567,0.0326,0.0326,0.0626,0.0322
non-maori_female22,68,0.0046,0.1354,0.1625,0.0338,0.0338,0.0682,0.0323
non-maori_female22,69,0.0043,0.1406,0.1687,0.0351,0.0351,0.0745,0.0325
non-maori_female22,70,0.0039,0.1461,0.1753,0.0365,0.0365,0.0817,0.0326
non-maori_female22,71,0.0036,0.152,0.1825,0.038,0.038,0.0897,0.0327
non-maori_female22,72,0.0033,0.1584,0.1901,0.0396,0.0396,0.0988,0.0328
non-maori_female22,73,0.0031,0.1653,0.1984,0.0413,0.0413,0.1091,0.0329
non-maori_female22,74,0.0028,0.1728,0.2073,0.0432,0.0432,0.1207,0.0331
non-maori_female22,75,0.0026,0.1808,0.217,0.0452,0.0452,0.1341,0.0332
non-maori_female22,76,0.0024,0.1895,0.2275,0.0474,0.0474,0.1492,0.0333
non-maori_female22,77,0.0022,0.199,0.2388,0.0498,0.0498,0.1664,0.0334
non-maori_female22,78,0.002,0.2093,0.2512,0.0523,0.0523,0.1861,0.0335
non-maori_female22,79,0.0018,0.2206,0.2647,0.0551,0.0551,0.2087,0.0336
non-maori_female22,80,0.0017,0.2327,0.2793,0.0582,0.0582,0.2389,0.0337
non-maori_female22,81,0.0015,0.2448,0.2938,0.0612,0.0612,0.2687,0.0339
non-maori_female22,82,0.0014,0.258,0.3096,0.0645,0.0645,0.3022,0.034
non-maori_female22,83,0.0013,0.2723,0.3268,0.0681,0.0681,0.3401,0.0341
non-maori_female22,84,0.0012,0.288,0.3456,0.072,0.072,0.3465,0.0342
non-maori_female22,85,0.0011,0.305,0.366,0.0763,0.0763,0.3089,0.0343
non-maori_female22,86,0.001,0.3226,0.3871,0.0807,0.0807,0.2702,0.0344
non-maori_female22,87,0.0009,0.3324,0.3989,0.0831,0.0831,0.2486,0.0345
non-maori_female22,88,0.0009,0.3324,0.3989,0.0831,0.0831,0.2486,0.0345
non-maori_female22,89,0.0009,0.3324,0.3989,0.0831,0.0831,0.2486,0.0345
non-maori_female22,90,0.0009,0.3324,0.3989,0.0831,0.0831,0.2486,0.0345
non-maori_female22,91,0.0009,0.3324,0.3989,0.0831,0.0831,0.2486,0.0345
non-maori_female22,92,0.0009,0.3324,0.3989,0.0831,0.0831,0.2486,0.0345
non-maori_female22,93,0.0009,0.3324,0.3989,0.0831,0.0831,0.2486,0.0345
non-maori_female22,94,0.0009,0.3324,0.3989,0.0831,0.0831,0.2486,0.0345
non-maori_female22,95,0.0009,0.3324,0.3989,0.0831,0.0831,0.2486,0.0345
non-maori_female22,96,0.0009,0.3324,0.3989,0.0831,0.0831,0.2486,0.0345
non-maori_female22,97,0.0009,0.3324,0.3989,0.0831,0.0831,0.2486,0.0345
non-maori_female22,98,0.0009,0.3324,0.3989,0.0831,0.0831,0.2486,0.0345
non-maori_female22,99,0.0009,0.3324,0.3989,0.0831,0.0831,0.2486,0.0345
non-maori_female22,100,0.0009,0.3324,0.3989,0.0831,0.0831,0.2486,0.0345
non-maori_female22,101,0.0009,0.3324,0.3989,0.0831,0.0831,0.2486,0.0345
non-maori_female22,102,0.0009,0.3324,0.3989,0.0831,0.0831,0.2486,0.0345
non-maori_female22,103,0.0009,0.3324,0.3989,0.0831,0.0831,0.2486,0.0345
non-maori_female22,104,0.0009,0.3324,0.3989,0.0831,0.0831,0.2486,0.0345
non-maori_female22,105,0.0009,0.3324,0.3989,0.0831,0.0831,0.2486,0.0345
non-maori_female22,106,0.0009,0.3324,0.3989,0.0831,0.0831,0.2486,0.0345
non-maori_female22,107,0.0009,0.3324,0.3989,0.0831,0.0831,0.2486,0.0345
non-maori_female22,108,0.0009,0.3324,0.3989,0.0831,0.0831,0.2486,0.0345
non-maori_female22,109,0.0009,0.3324,0.3989,0.0831,0.0831,0.2486,0.0345
