sheet,year,totalSmoke,DU-->FSFV,DU-->FSCV,CS-->FSCV,CS-->FSFV,DU-->CS,CS-->DU
maori_male_62,0,0.2057,0.1052,0.1263,0.0263,0.0263,0.0738,0.015
maori_male_62,1,0.1931,0.1059,0.1271,0.0265,0.0265,0.0748,0.0158
maori_male_62,2,0.1812,0.1066,0.1279,0.0266,0.0266,0.0757,0.0166
maori_male_62,3,0.1699,0.1072,0.1286,0.0268,0.0268,0.0764,0.0174
maori_male_62,4,0.1591,0.1078,0.1293,0.0269,0.0269,0.0769,0.0183
maori_male_62,5,0.1489,0.1083,0.1299,0.0271,0.0271,0.0775,0.0191
maori_male_62,6,0.1392,0.1087,0.1305,0.0272,0.0272,0.0777,0.0201
maori_male_62,7,0.1301,0.1091,0.131,0.0273,0.0273,0.0776,0.021
maori_male_62,8,0.1215,0.1095,0.1314,0.0274,0.0274,0.0774,0.022
maori_male_62,9,0.1133,0.1098,0.1318,0.0275,0.0275,0.077,0.0231
maori_male_62,10,0.1057,0.1101,0.1321,0.0275,0.0275,0.0768,0.0241
maori_male_62,11,0.0984,0.1102,0.1322,0.0275,0.0275,0.076,0.0252
maori_male_62,12,0.0916,0.1103,0.1323,0.0276,0.0276,0.0751,0.0264
maori_male_62,13,0.0852,0.1103,0.1324,0.0276,0.0276,0.074,0.0276
maori_male_62,14,0.0792,0.1103,0.1323,0.0276,0.0276,0.0727,0.0288
maori_male_62,15,0.0735,0.1102,0.1322,0.0275,0.0275,0.0717,0.03
maori_male_62,16,0.0682,0.11,0.132,0.0275,0.0275,0.0701,0.0313
maori_male_62,17,0.0633,0.1097,0.1316,0.0274,0.0274,0.0684,0.0326
maori_male_62,18,0.0586,0.1093,0.1312,0.0273,0.0273,0.0666,0.034
maori_male_62,19,0.0543,0.1089,0.1307,0.0272,0.0272,0.0646,0.0354
maori_male_62,20,0.0502,0.1085,0.1301,0.0271,0.0271,0.0628,0.0369
maori_male_62,21,0.0464,0.1079,0.1294,0.027,0.027,0.0606,0.0384
maori_male_62,22,0.0429,0.1072,0.1287,0.0268,0.0268,0.0583,0.0399
maori_male_62,23,0.0396,0.1065,0.1278,0.0266,0.0266,0.0559,0.0414
maori_male_62,24,0.0366,0.1057,0.1269,0.0264,0.0264,0.0534,0.043
maori_male_62,25,0.0337,0.1049,0.1259,0.0262,0.0262,0.051,0.0447
maori_male_62,26,0.0311,0.1039,0.1247,0.026,0.026,0.0483,0.0464
maori_male_62,27,0.0286,0.1029,0.1235,0.0257,0.0257,0.0456,0.0481
maori_male_62,28,0.0263,0.1018,0.1222,0.0255,0.0255,0.0428,0.0498
maori_male_62,29,0.0242,0.1007,0.1208,0.0252,0.0252,0.0399,0.0516
maori_male_62,30,0.0223,0.0995,0.1194,0.0249,0.0249,0.0371,0.0535
maori_male_62,31,0.0205,0.0982,0.1179,0.0246,0.0246,0.0341,0.0553
maori_male_62,32,0.0188,0.0969,0.1162,0.0242,0.0242,0.0311,0.0572
maori_male_62,33,0.0172,0.0955,0.1145,0.0239,0.0239,0.0281,0.0592
maori_male_62,34,0.0158,0.094,0.1128,0.0235,0.0235,0.025,0.0611
maori_male_62,35,0.0145,0.0925,0.111,0.0231,0.0231,0.0219,0.0631
maori_male_62,36,0.0133,0.0909,0.1091,0.0227,0.0227,0.0188,0.0652
maori_male_62,37,0.0122,0.0893,0.1072,0.0223,0.0223,0.0157,0.0672
maori_male_62,38,0.0111,0.0877,0.1052,0.0219,0.0219,0.0168,0.0693
maori_male_62,39,0.0102,0.0862,0.1034,0.0215,0.0215,0.0573,0.0715
maori_male_62,40,0.0093,0.0867,0.1041,0.0217,0.0217,0.0622,0.0736
maori_male_62,41,0.0085,0.0868,0.1042,0.0217,0.0217,0.0666,0.0758
maori_male_62,42,0.0078,0.0869,0.1042,0.0217,0.0217,0.071,0.078
maori_male_62,43,0.0071,0.0869,0.1043,0.0217,0.0217,0.1283,0.0802
maori_male_62,44,0.0067,0.0628,0.0753,0.0157,0.0157,0.0516,0.0824
maori_male_62,45,0.0061,0.087,0.1045,0.0218,0.0218,0.0944,0.0847
maori_male_62,46,0.0056,0.0821,0.0985,0.0205,0.0205,0.1038,0.0869
maori_male_62,47,0.0052,0.0772,0.0926,0.0193,0.0193,0.1132,0.0892
maori_male_62,48,0.0048,0.0723,0.0867,0.0181,0.0181,0.152,0.0915
maori_male_62,49,0.0045,0.0619,0.0743,0.0155,0.0155,0.1472,0.0938
maori_male_62,50,0.0042,0.0637,0.0764,0.0159,0.0159,0.1554,0.0961
maori_male_62,51,0.004,0.0655,0.0785,0.0164,0.0164,0.164,0.0984
maori_male_62,52,0.0037,0.0673,0.0807,0.0168,0.0168,0.173,0.1008
maori_male_62,53,0.0035,0.0691,0.083,0.0173,0.0173,0.1824,0.1031
maori_male_62,54,0.0032,0.071,0.0852,0.0178,0.0178,0.1922,0.1054
maori_male_62,55,0.003,0.073,0.0876,0.0182,0.0182,0.2026,0.1077
maori_male_62,56,0.0028,0.075,0.09,0.0187,0.0187,0.2135,0.11
maori_male_62,57,0.0026,0.077,0.0924,0.0193,0.0193,0.2249,0.1123
maori_male_62,58,0.0024,0.0791,0.0949,0.0198,0.0198,0.2368,0.1146
maori_male_62,59,0.0023,0.0812,0.0975,0.0203,0.0203,0.2492,0.1168
maori_male_62,60,0.0021,0.0835,0.1002,0.0209,0.0209,0.2625,0.1191
maori_male_62,61,0.002,0.0857,0.1028,0.0214,0.0214,0.2763,0.1213
maori_male_62,62,0.0018,0.088,0.1056,0.022,0.022,0.2907,0.1235
maori_male_62,63,0.0017,0.0903,0.1084,0.0226,0.0226,0.3059,0.1257
maori_male_62,64,0.0016,0.0928,0.1114,0.0232,0.0232,0.3217,0.1278
maori_male_62,65,0.0014,0.0954,0.1144,0.0238,0.0238,0.3384,0.1299
maori_male_62,66,0.0013,0.098,0.1176,0.0245,0.0245,0.3559,0.132
maori_male_62,67,0.0012,0.1007,0.1208,0.0252,0.0252,0.3742,0.134
maori_male_62,68,0.0011,0.1035,0.1242,0.0259,0.0259,0.3933,0.136
maori_male_62,69,0.001,0.1065,0.1278,0.0266,0.0266,0.4133,0.138
maori_male_62,70,0.001,0.1096,0.1315,0.0274,0.0274,0.4346,0.1399
maori_male_62,71,0.0009,0.1128,0.1353,0.0282,0.0282,0.4568,0.1417
maori_male_62,72,0.0008,0.1161,0.1393,0.029,0.029,0.48,0.1435
maori_male_62,73,0.0007,0.1196,0.1436,0.0299,0.0299,0.5045,0.1453
maori_male_62,74,0.0007,0.1234,0.1481,0.0308,0.0308,0.5301,0.147
maori_male_62,75,0.0006,0.1273,0.1528,0.0318,0.0318,0.5573,0.1486
maori_male_62,76,0.0006,0.1315,0.1578,0.0329,0.0329,0.4944,0.1502
maori_male_62,77,0.0005,0.1309,0.1571,0.0327,0.0327,0.4268,0.1517
