sheet,year,totalSmoke,DU-->FSFV,DU-->FSCV,CS-->FSCV,CS-->FSFV,DU-->CS,CS-->DU
non-maori_male_22,0,0.1721,0.0463,0.0555,0.0116,0.0116,0.1335,0.022
non-maori_male_22,1,0.1679,0.0463,0.0556,0.0116,0.0116,0.0532,0.0228
non-maori_male_22,2,0.1638,0.0452,0.0542,0.0113,0.0113,0.0516,0.0235
non-maori_male_22,3,0.1596,0.0442,0.0531,0.0111,0.0111,0.0506,0.0243
non-maori_male_22,4,0.1555,0.0434,0.0521,0.0109,0.0109,0.05,0.0251
non-maori_male_22,5,0.1513,0.0428,0.0513,0.0107,0.0107,0.0498,0.026
non-maori_male_22,6,0.1472,0.0422,0.0507,0.0106,0.0106,0.0499,0.0268
non-maori_male_22,7,0.1431,0.0418,0.0502,0.0105,0.0105,0.0502,0.0277
non-maori_male_22,8,0.139,0.0415,0.0498,0.0104,0.0104,0.0507,0.0286
non-maori_male_22,9,0.135,0.0413,0.0496,0.0103,0.0103,0.0514,0.0294
non-maori_male_22,10,0.131,0.0411,0.0494,0.0103,0.0103,0.0521,0.0303
non-maori_male_22,11,0.127,0.0411,0.0493,0.0103,0.0103,0.0529,0.0313
non-maori_male_22,12,0.1231,0.0411,0.0493,0.0103,0.0103,0.0538,0.0322
non-maori_male_22,13,0.1192,0.0411,0.0493,0.0103,0.0103,0.0548,0.0332
non-maori_male_22,14,0.1154,0.0412,0.0495,0.0103,0.0103,0.0558,0.0341
non-maori_male_22,15,0.1116,0.0413,0.0496,0.0103,0.0103,0.0567,0.0351
non-maori_male_22,16,0.1079,0.0415,0.0499,0.0104,0.0104,0.0578,0.0361
non-maori_male_22,17,0.1042,0.0418,0.0501,0.0104,0.0104,0.0589,0.0371
non-maori_male_22,18,0.1006,0.042,0.0505,0.0105,0.0105,0.06,0.0381
non-maori_male_22,19,0.097,0.0423,0.0508,0.0106,0.0106,0.0612,0.0391
non-maori_male_22,20,0.0935,0.0427,0.0512,0.0107,0.0107,0.0622,0.0402
non-maori_male_22,21,0.09,0.0432,0.0519,0.0108,0.0108,0.0634,0.0412
non-maori_male_22,22,0.0866,0.0438,0.0526,0.011,0.011,0.0645,0.0423
non-maori_male_22,23,0.0833,0.0444,0.0533,0.0111,0.0111,0.0657,0.0433
non-maori_male_22,24,0.0801,0.045,0.054,0.0113,0.0113,0.0668,0.0444
non-maori_male_22,25,0.0769,0.0456,0.0547,0.0114,0.0114,0.0679,0.0455
