sheet,year,totalSmoke,DU-->FSFV,DU-->FSCV,CS-->FSCV,CS-->FSFV,DU-->CS,CS-->DU
maori_male_22,63,0.0101,0.0939,0.1135,0.0235,0.0161,0.0515,0.0703
maori_male_22,64,0.0093,0.0955,0.1155,0.0239,0.0164,0.0516,0.0709
maori_male_22,65,0.0086,0.0973,0.1177,0.0243,0.0167,0.0517,0.0716
maori_male_22,66,0.0079,0.0991,0.1198,0.0248,0.017,0.0517,0.0723
maori_male_22,67,0.0073,0.101,0.1222,0.0253,0.0173,0.0515,0.0729
maori_male_22,68,0.0067,0.1031,0.1247,0.0258,0.0177,0.0513,0.0735
maori_male_22,69,0.0061,0.1053,0.1274,0.0263,0.0181,0.051,0.0741
maori_male_22,70,0.0057,0.1077,0.1303,0.0269,0.0185,0.0506,0.0747
maori_male_22,71,0.0052,0.1102,0.1333,0.0276,0.0189,0.0501,0.0753
maori_male_22,72,0.0048,0.1129,0.1366,0.0282,0.0194,0.0495,0.0758
maori_male_22,73,0.0044,0.1159,0.1401,0.029,0.0199,0.0487,0.0763
maori_male_22,74,0.004,0.119,0.144,0.0298,0.0204,0.0478,0.0768
maori_male_22,75,0.0037,0.1225,0.1481,0.0306,0.021,0.0468,0.0773
maori_male_22,76,0.0034,0.1262,0.1526,0.0315,0.0216,0.0456,0.0778
maori_male_22,77,0.0031,0.1302,0.1574,0.0325,0.0223,0.0442,0.0782
maori_male_22,78,0.0028,0.1345,0.1627,0.0336,0.0231,0.0426,0.0786
maori_male_22,79,0.0026,0.1393,0.1685,0.0348,0.0239,0.0407,0.079
maori_male_22,80,0.0024,0.1444,0.1747,0.0361,0.0248,0.0397,0.0794
maori_male_22,81,0.0022,0.1495,0.1808,0.0374,0.0256,0.0379,0.0797
maori_male_22,82,0.002,0.155,0.1874,0.0387,0.0266,0.0359,0.08
maori_male_22,83,0.0018,0.161,0.1947,0.0402,0.0276,0.0336,0.0803
maori_male_22,84,0.0016,0.1676,0.2027,0.0419,0.0288,0.0309,0.0806
maori_male_22,85,0.0015,0.1748,0.2114,0.0437,0.03,0.0279,0.0808
maori_male_22,86,0.0014,0.1827,0.221,0.0457,0.0314,0.0246,0.0811
maori_male_22,87,0.0013,0.1914,0.2315,0.0479,0.0328,0.0208,0.0813
maori_male_22,88,0.0013,0.1914,0.2315,0.0479,0.0328,0.0208,0.0813
maori_male_22,89,0.0013,0.1914,0.2315,0.0479,0.0328,0.0208,0.0813
maori_male_22,90,0.0013,0.1914,0.2315,0.0479,0.0328,0.0208,0.0813
maori_male_22,91,0.0013,0.1914,0.2315,0.0479,0.0328,0.0208,0.0813
maori_male_22,92,0.0013,0.1914,0.2315,0.0479,0.0328,0.0208,0.0813
maori_male_22,93,0.0013,0.1914,0.2315,0.0479,0.0328,0.0208,0.0813
maori_male_22,94,0.0013,0.1914,0.2315,0.0479,0.0328,0.0208,0.0813
maori_male_22,95,0.0013,0.1914,0.2315,0.0479,0.0328,0.0208,0.0813
