year_start,year_end,agecategory,sex,strata,cs,qsqv_1,qscv_1
1,2,15,female,maori,0.1293,0.0506,0.0612
1,2,20,female,maori,0.1293,0.0506,0.0612
1,2,25,female,maori,0.1293,0.0506,0.0612
1,2,30,female,maori,0.1293,0.0506,0.0612
1,2,35,female,maori,0.1293,0.0506,0.0612
1,2,40,female,maori,0.1162,0.0509,0.0616
1,2,45,female,maori,0.8429121153774392,0.0623126748284368,0.0747752097941242
1,2,50,female,maori,0.836770550581135,0.0651042951903933,0.07812515422847201
1,2,55,female,maori,0.822591558775783,0.0715492914655532,0.0858591497586638
1,2,60,female,maori,0.806966813022227,0.0786514486262602,0.0943817383515123
1,2,65,female,maori,0.396836751227131,0.10221342324057901,0.122656107888695
1,2,70,female,maori,0.48418466131803994,0.110682453340759,0.13281894400891
1,2,75,female,maori,0.6607928669395091,0.123303264204836,0.147963917045803
1,2,80,female,maori,0.686347275678747,0.13347851105511502,0.160174213266138
1,2,85,female,maori,0.6603365296485649,0.14530157743247102,0.174361892918965
1,2,90,female,maori,0.6351960022830639,0.156729089871335,0.188074907845602
1,2,95,female,maori,0.614523405820018,0.16612572462726402,0.199350869552717
1,2,100,female,maori,0.598060925584486,0.17360867018887,0.20833040422664398
1,2,105,female,maori,0.598060925584486,0.17360867018887,0.20833040422664398
1,2,0,female,non-maori,0.0462,0.0464,0.0557
1,2,5,female,non-maori,0.0462,0.0464,0.0557
1,2,10,female,non-maori,0.0462,0.0464,0.0557
1,2,15,female,non-maori,0.0462,0.0464,0.0557
1,2,20,female,non-maori,0.0462,0.0464,0.0557
1,2,25,female,non-maori,0.0462,0.0464,0.0557
1,2,30,female,non-maori,0.0462,0.0464,0.0557
1,2,35,female,non-maori,0.0462,0.0464,0.0557
1,2,40,female,non-maori,0.0462,0.0464,0.0557
1,2,45,female,non-maori,0.18281486531101399,0.0555667490270729,0.0666800988324875
1,2,50,female,non-maori,0.182678526462231,0.057169898545609006,0.0686038782547308
1,2,55,female,non-maori,0.1860011210775,0.0607095724445164,0.0728514869334197
1,2,60,female,non-maori,0.19361758447047503,0.0647465501192837,0.0776958601431404
1,2,65,female,non-maori,0.0679724607004928,0.0853498525951535,0.10241982311418402
1,2,70,female,non-maori,0.0850413688909018,0.0882907046567112,0.10594884558805302
1,2,75,female,non-maori,0.154845643540305,0.0976816475979293,0.117217977117515
1,2,80,female,non-maori,0.22250453191374697,0.104378108376676,0.125253730052011
1,2,85,female,non-maori,0.37383427333238295,0.11541037360595201,0.138492448327143
1,2,90,female,non-maori,0.685633679328969,0.133802873032287,0.16056344763874403
1,2,95,female,non-maori,0.685633679328969,0.133802873032287,0.16056344763874403
1,2,100,female,non-maori,0.0120000148260798,0.09641245147966301,0.115694941775596
1,2,105,female,non-maori,0.0120000148260798,0.09641245147966301,0.115694941775596
1,2,0,male,maori,0.2158,0.0797,0.0964
1,2,5,male,maori,0.2158,0.0797,0.0964
1,2,10,male,maori,0.2158,0.0797,0.0964
1,2,15,male,maori,0.2158,0.0797,0.0964
1,2,20,male,maori,0.2158,0.0797,0.0964
1,2,25,male,maori,0.2158,0.0797,0.0964
1,2,30,male,maori,0.2158,0.0797,0.0964
1,2,35,male,maori,0.1992,0.079,0.0955
1,2,40,male,maori,0.185,0.0783,0.0947
1,2,45,male,maori,0.381132495092722,0.0765312031498394,0.0918374437798073
1,2,50,male,maori,0.348646486159263,0.0771637024172054,0.0925964429006465
1,2,55,male,maori,0.3034564627374,0.0781802416967814,0.0938162900361377
1,2,60,male,maori,0.274715572474093,0.0786939362694978,0.0944327235233973
1,2,65,male,maori,0.0769,0.1078,0.1293
1,2,70,male,maori,0.0774,0.1095,0.1314
1,2,75,male,maori,0.0751,0.1103,0.1323
1,2,80,male,maori,0.0684,0.1097,0.1316
1,2,85,male,maori,0.0606,0.1079,0.1294
1,2,90,male,maori,0.0456,0.1029,0.1235
1,2,95,male,maori,0.0311,0.0969,0.1162
1,2,100,male,maori,0.0622,0.0867,0.1041
1,2,105,male,maori,0.0622,0.0867,0.1041
1,2,0,male,non-maori,0.0532,0.0463,0.0556
1,2,5,male,non-maori,0.0532,0.0463,0.0556
1,2,10,male,non-maori,0.0532,0.0463,0.0556
1,2,15,male,non-maori,0.0532,0.0463,0.0556
1,2,20,male,non-maori,0.0532,0.0463,0.0556
1,2,25,male,non-maori,0.0516,0.0452,0.0542
1,2,30,male,non-maori,0.0532,0.0463,0.0556
1,2,35,male,non-maori,0.0532,0.0463,0.0556
1,2,40,male,non-maori,0.05,0.0434,0.0521
1,2,45,male,non-maori,0.0185,0.0466,0.0559
1,2,50,male,non-maori,0.0297,0.0472,0.0566
1,2,55,male,non-maori,0.0298,0.0477,0.0572
1,2,60,male,non-maori,0.0306,0.0505,0.0607
1,2,65,male,non-maori,0.0657,0.0581,0.0698
1,2,70,male,non-maori,0.07400000000000001,0.0608,0.0729
1,2,75,male,non-maori,0.081,0.0628,0.0753
1,2,80,male,non-maori,0.1032,0.0682,0.0818
1,2,85,male,non-maori,0.1237,0.0727,0.0872
1,2,90,male,non-maori,0.1237,0.0727,0.0872
1,2,95,male,non-maori,0.1619,0.0799,0.0959
1,2,100,male,non-maori,0.1619,0.0799,0.0959
1,2,105,male,non-maori,0.1619,0.0799,0.0959
2,3,0,female,maori,0.1162,0.0509,0.0616
2,3,5,female,maori,0.1162,0.0509,0.0616
2,3,10,female,maori,0.1162,0.0509,0.0616
2,3,15,female,maori,0.1162,0.0509,0.0616
2,3,20,female,maori,0.1162,0.0509,0.0616
2,3,25,female,maori,0.1162,0.0509,0.0616
2,3,30,female,maori,0.1162,0.0509,0.0616
2,3,35,female,maori,0.1162,0.0509,0.0616
2,3,40,female,maori,0.1053,0.0513,0.062
2,3,45,female,maori,0.839852096577458,0.0637035924647918,0.0764443109577501
2,3,50,female,maori,0.8332574971136271,0.066701137675624,0.0800413652107488
2,3,55,female,maori,0.818992141637759,0.0731853901646548,0.0878224681975857
2,3,60,female,maori,0.8029141560923501,0.080493565412568,0.0965922784950816
2,3,65,female,maori,0.41688865490098403,0.10431593386922501,0.12517912064307002
2,3,70,female,maori,0.5102417486546871,0.11282392167911001,0.135388706014931
2,3,75,female,maori,0.696067511664917,0.125320208710687,0.150384250452824
2,3,80,female,maori,0.682025132434974,0.13544312162046698,0.16253174594456
2,3,85,female,maori,0.656139875040934,0.147209147708666,0.176650977250399
2,3,90,female,maori,0.63105196042072,0.15861274526330899,0.19033529431597102
2,3,95,female,maori,0.610397261221045,0.168001244899525,0.20160149387943
2,3,100,female,maori,0.597016064854869,0.17408360688414998,0.20890032826098104
2,3,105,female,maori,0.597016064854869,0.17408360688414998,0.20890032826098104
2,3,0,female,non-maori,0.0395,0.0457,0.0548
2,3,5,female,non-maori,0.0395,0.0457,0.0548
2,3,10,female,non-maori,0.0395,0.0457,0.0548
2,3,15,female,non-maori,0.0395,0.0457,0.0548
2,3,20,female,non-maori,0.0395,0.0457,0.0548
2,3,25,female,non-maori,0.0395,0.0457,0.0548
2,3,30,female,non-maori,0.0395,0.0457,0.0548
2,3,35,female,non-maori,0.0395,0.0457,0.0548
2,3,40,female,non-maori,0.0395,0.0457,0.0548
2,3,45,female,non-maori,0.18253044916771102,0.0563342677711648,0.0676011213253978
2,3,50,female,non-maori,0.183122935221471,0.0580246655789459,0.069629598694735
2,3,55,female,non-maori,0.187497984876781,0.0616862842172078,0.0740235410606493
2,3,60,female,non-maori,0.19608738478537602,0.0658118788245793,0.0789742545894951
2,3,65,female,non-maori,0.07619345155617599,0.0868071003811842,0.10416852045742098
2,3,70,female,non-maori,0.0946396933335086,0.0898007940770322,0.107760952892439
2,3,75,female,non-maori,0.169873708217392,0.0993155038856356,0.11917860466276299
2,3,80,female,non-maori,0.243081469607585,0.106118895294533,0.12734267435344
2,3,85,female,non-maori,0.406766244772294,0.117333933910075,0.14080072069209001
2,3,90,female,non-maori,0.680787032135977,0.136005894483647,0.16320707338037602
2,3,95,female,non-maori,0.680787032135977,0.136005894483647,0.16320707338037602
2,3,100,female,non-maori,0.0120000148260798,0.09641245147966301,0.115694941775596
2,3,105,female,non-maori,0.0120000148260798,0.09641245147966301,0.115694941775596
2,3,0,male,maori,0.1992,0.079,0.0955
2,3,5,male,maori,0.1992,0.079,0.0955
2,3,10,male,maori,0.1992,0.079,0.0955
2,3,15,male,maori,0.1992,0.079,0.0955
2,3,20,male,maori,0.1992,0.079,0.0955
2,3,25,male,maori,0.1992,0.079,0.0955
2,3,30,male,maori,0.1992,0.079,0.0955
2,3,35,male,maori,0.185,0.0783,0.0947
2,3,40,male,maori,0.1729,0.0776,0.0939
2,3,45,male,maori,0.36497155955204597,0.0768606153430921,0.0922327384117105
2,3,50,male,maori,0.33320543557442306,0.077534043939681,0.0930408527276172
2,3,55,male,maori,0.28911329758749205,0.0784541244412986,0.0941449493295584
2,3,60,male,maori,0.260900674430199,0.0789656453992749,0.0947587744791299
2,3,65,male,maori,0.0775,0.1083,0.1299
2,3,70,male,maori,0.077,0.1098,0.1318
2,3,75,male,maori,0.07400000000000001,0.1103,0.1324
2,3,80,male,maori,0.0666,0.1093,0.1312
2,3,85,male,maori,0.0583,0.1072,0.1287
2,3,90,male,maori,0.0428,0.1018,0.1222
2,3,95,male,maori,0.0281,0.0955,0.1145
2,3,100,male,maori,0.0666,0.0868,0.1042
2,3,105,male,maori,0.0666,0.0868,0.1042
2,3,0,male,non-maori,0.0516,0.0452,0.0542
2,3,5,male,non-maori,0.0516,0.0452,0.0542
2,3,10,male,non-maori,0.0516,0.0452,0.0542
2,3,15,male,non-maori,0.0516,0.0452,0.0542
2,3,20,male,non-maori,0.0516,0.0452,0.0542
2,3,25,male,non-maori,0.0506,0.0442,0.0531
2,3,30,male,non-maori,0.0516,0.0452,0.0542
2,3,35,male,non-maori,0.0516,0.0452,0.0542
2,3,40,male,non-maori,0.0498,0.0428,0.0513
2,3,45,male,non-maori,0.0165,0.0467,0.0561
2,3,50,male,non-maori,0.0298,0.0477,0.0572
2,3,55,male,non-maori,0.0299,0.0482,0.0579
2,3,60,male,non-maori,0.0307,0.0511,0.0614
2,3,65,male,non-maori,0.0676,0.0588,0.0706
2,3,70,male,non-maori,0.0762,0.0615,0.0737
2,3,75,male,non-maori,0.0834,0.0635,0.0762
2,3,80,male,non-maori,0.1064,0.0689,0.0827
2,3,85,male,non-maori,0.1275,0.0735,0.0881
2,3,90,male,non-maori,0.1275,0.0735,0.0881
2,3,95,male,non-maori,0.1667,0.0808,0.09699999999999999
2,3,100,male,non-maori,0.1667,0.0808,0.09699999999999999
2,3,105,male,non-maori,0.1667,0.0808,0.09699999999999999
3,4,0,female,maori,0.1053,0.0513,0.062
3,4,5,female,maori,0.1053,0.0513,0.062
3,4,10,female,maori,0.1053,0.0513,0.062
3,4,15,female,maori,0.1053,0.0513,0.062
3,4,20,female,maori,0.1053,0.0513,0.062
3,4,25,female,maori,0.1053,0.0513,0.062
3,4,30,female,maori,0.1053,0.0513,0.062
3,4,35,female,maori,0.1053,0.0513,0.062
3,4,40,female,maori,0.096,0.0517,0.0625
3,4,45,female,maori,0.836770550581135,0.0651042951903933,0.07812515422847201
3,4,50,female,maori,0.8297236866701401,0.0683074151499364,0.0819688981799237
3,4,55,female,maori,0.8150054791394571,0.0749975094820649,0.0899970113784779
3,4,60,female,maori,0.7988388423139341,0.0823459807663938,0.0988151769196726
3,4,65,female,maori,0.43808905302811896,0.10642834319509199,0.12771401183411
3,4,70,female,maori,0.536818908055985,0.114900882250414,0.137881058700497
3,4,75,female,maori,0.699837964226681,0.127346379896963,0.15281565587635598
3,4,80,female,maori,0.6776802679303969,0.137418060031638,0.164901672037965
3,4,85,female,maori,0.651919420544927,0.14912753611594198,0.17895304333913103
3,4,90,female,maori,0.626881109314724,0.16050858667512502,0.19261030401014997
3,4,95,female,maori,0.606238031102681,0.16989180404423598,0.203870164853083
3,4,100,female,maori,0.595944517386101,0.174570673915409,0.20948480869849
3,4,105,female,maori,0.595944517386101,0.174570673915409,0.20948480869849
3,4,0,female,non-maori,0.0342,0.045,0.054000000000000006
3,4,5,female,non-maori,0.0342,0.045,0.054000000000000006
3,4,10,female,non-maori,0.0342,0.045,0.054000000000000006
3,4,15,female,non-maori,0.0342,0.045,0.054000000000000006
3,4,20,female,non-maori,0.0342,0.045,0.054000000000000006
3,4,25,female,non-maori,0.0342,0.045,0.054000000000000006
3,4,30,female,non-maori,0.0342,0.045,0.054000000000000006
3,4,35,female,non-maori,0.0342,0.045,0.054000000000000006
3,4,40,female,non-maori,0.0342,0.045,0.054000000000000006
3,4,45,female,non-maori,0.182678526462231,0.057169898545609006,0.0686038782547308
3,4,50,female,non-maori,0.183856838539415,0.0588991460340493,0.0706789752408591
3,4,55,female,non-maori,0.189265794444784,0.0626843138629417,0.0752211766355301
3,4,60,female,non-maori,0.19889846038054101,0.0669277418361664,0.0803132902033996
3,4,65,female,non-maori,0.0850413688909018,0.0882907046567112,0.10594884558805302
3,4,70,female,non-maori,0.104925748268461,0.0913233537151555,0.109588024458187
3,4,75,female,non-maori,0.186091824209455,0.100976265640656,0.121171518768787
3,4,80,female,non-maori,0.265276396436454,0.10791621520300802,0.129499458243609
3,4,85,female,non-maori,0.44242770832835204,0.11928921773638,0.143147061283656
3,4,90,female,non-maori,0.6759025486111819,0.138226114267644,0.16587133712117302
3,4,95,female,non-maori,0.6759025486111819,0.138226114267644,0.16587133712117302
3,4,100,female,non-maori,0.0120000148260798,0.09641245147966301,0.115694941775596
3,4,105,female,non-maori,0.0120000148260798,0.09641245147966301,0.115694941775596
3,4,0,male,maori,0.185,0.0783,0.0947
3,4,5,male,maori,0.185,0.0783,0.0947
3,4,10,male,maori,0.185,0.0783,0.0947
3,4,15,male,maori,0.185,0.0783,0.0947
3,4,20,male,maori,0.185,0.0783,0.0947
3,4,25,male,maori,0.185,0.0783,0.0947
3,4,30,male,maori,0.185,0.0783,0.0947
3,4,35,male,maori,0.1729,0.0776,0.0939
3,4,40,male,maori,0.1614,0.077,0.0931
3,4,45,male,maori,0.348646486159263,0.0771637024172054,0.0925964429006465
3,4,50,male,maori,0.31814848726143896,0.0778732200941759,0.09344786411301101
3,4,55,male,maori,0.274715572474093,0.0786939362694978,0.0944327235233973
3,4,60,male,maori,0.247385509754173,0.0791987169053217,0.09503846028638599
3,4,65,male,maori,0.0777,0.1087,0.1305
3,4,70,male,maori,0.0768,0.1101,0.1321
3,4,75,male,maori,0.0727,0.1103,0.1323
3,4,80,male,maori,0.0646,0.1089,0.1307
3,4,85,male,maori,0.0559,0.1065,0.1278
3,4,90,male,maori,0.0399,0.1007,0.1208
3,4,95,male,maori,0.025,0.094,0.1128
3,4,100,male,maori,0.071,0.0869,0.1042
3,4,105,male,maori,0.071,0.0869,0.1042
