year_start,year_end,agecategory,sex,strata,cscv,qsqv_1,qscv_1
0,1,100,male,non-maori,0.1149,0.0198,0.0198
0,1,105,male,non-maori,0.1149,0.0198,0.0198
1,2,0,female,maori,0.008,0.0087,0.0127
1,2,5,female,maori,0.008,0.0087,0.0127
1,2,10,female,maori,0.008,0.0087,0.0127
1,2,15,female,maori,0.008,0.0087,0.0127
1,2,20,female,maori,0.008,0.0087,0.0127
1,2,25,female,maori,0.008,0.0087,0.0127
1,2,30,female,maori,0.008,0.0087,0.0127
1,2,35,female,maori,0.008,0.0087,0.0127
1,2,40,female,maori,0.008,0.0087,0.0127
1,2,45,female,maori,0.0486939246312098,0.0155781687071092,0.0155781687071092
1,2,50,female,maori,0.0478422169131618,0.0162760737975983,0.0162760737975983
1,2,55,female,maori,0.0461832326872496,0.0178873228663883,0.0178873228663883
1,2,60,female,maori,0.0445817756588504,0.0196628621565651,0.0196628621565651
1,2,65,female,maori,0.0227971362014157,0.0255533558101449,0.0255533558101449
1,2,70,female,maori,0.0253139858229781,0.0276706133351897,0.0276706133351897
1,2,75,female,maori,0.0296197160244504,0.0308258160512089,0.0308258160512089
1,2,80,female,maori,0.0337622350228325,0.0333696277637788,0.0333696277637788
1,2,85,female,maori,0.0395049527451068,0.0363253943581176,0.0363253943581176
1,2,90,female,maori,0.0462244661924098,0.0391822724678337,0.0391822724678337
1,2,95,female,maori,0.0526892725813051,0.0415314311568161,0.0415314311568161
1,2,100,female,maori,0.0632867247481762,0.0434021675472176,0.0434021675472176
1,2,105,female,maori,0.0632867247481762,0.0434021675472176,0.0434021675472176
1,2,0,female,non-maori,0.0222,0.0116,0.0116
1,2,5,female,non-maori,0.0222,0.0116,0.0116
1,2,10,female,non-maori,0.0222,0.0116,0.0116
1,2,15,female,non-maori,0.0222,0.0116,0.0116
1,2,20,female,non-maori,0.0222,0.0116,0.0116
1,2,25,female,non-maori,0.0222,0.0116,0.0116
1,2,30,female,non-maori,0.0222,0.0116,0.0116
1,2,35,female,non-maori,0.0222,0.0116,0.0116
1,2,40,female,non-maori,0.0222,0.0116,0.0116
1,2,45,female,non-maori,0.0520398681739519,0.0138916872567682,0.0138916872567682
1,2,50,female,non-maori,0.0530908012084936,0.0142924746364023,0.0142924746364023
1,2,55,female,non-maori,0.0552567659227899,0.0151773931111291,0.0151773931111291
1,2,60,female,non-maori,0.0575110962868181,0.0161866375298209,0.0161866375298209
1,2,65,female,non-maori,0.0265772035008343,0.0213374631487884,0.0213374631487884
1,2,70,female,non-maori,0.0288263116648399,0.0220726761641778,0.0220726761641778
1,2,75,female,non-maori,0.0367814178111326,0.0244204118994823,0.0244204118994823
1,2,80,female,non-maori,0.0432701158557808,0.026094527094169,0.026094527094169
1,2,85,female,non-maori,0.055211233005879996,0.0288525934014881,0.0288525934014881
1,2,90,female,non-maori,0.0795768105013795,0.0334507182580717,0.0334507182580717
1,2,95,female,non-maori,0.0795768105013795,0.0334507182580717,0.0334507182580717
1,2,100,female,non-maori,0.6850166432812861,0.0241031128699157,0.0241031128699157
1,2,105,female,non-maori,0.6850166432812861,0.0241031128699157,0.0241031128699157
1,2,0,male,maori,0.0206,0.0137,0.0199
1,2,5,male,maori,0.0206,0.0137,0.0199
