age,sex,income_first,income,income_last,expenditure_rate_first,expenditure_rate,expenditure_rate_last
0,female,0.0,0.0,0.0,947.0656722908743,778.857433460076,450.3885712927756
0,male,0.0,0.0,0.0,-320.42573312737636,299.03736264258555,-29.431499524714827
1,female,0.0,0.0,0.0,947.0656722908743,778.857433460076,450.3885712927756
1,male,0.0,0.0,0.0,-320.42573312737636,299.03736264258555,-29.431499524714827
2,female,0.0,0.0,0.0,947.0656722908743,778.857433460076,450.3885712927756
2,male,0.0,0.0,0.0,-320.42573312737636,299.03736264258555,-29.431499524714827
3,female,0.0,0.0,0.0,947.0656722908743,778.857433460076,450.3885712927756
3,male,0.0,0.0,0.0,-320.42573312737636,299.03736264258555,-29.431499524714827
4,female,0.0,0.0,0.0,947.0656722908743,778.857433460076,450.3885712927756
4,male,0.0,0.0,0.0,-320.42573312737636,299.03736264258555,-29.431499524714827
5,female,0.0,0.0,0.0,947.0656722908743,778.857433460076,450.3885712927756
5,male,0.0,0.0,0.0,-320.42573312737636,299.03736264258555,-29.431499524714827
6,female,0.0,0.0,0.0,947.0656722908743,778.857433460076,450.3885712927756
6,male,0.0,0.0,0.0,-320.42573312737636,299.03736264258555,-29.431499524714827
7,female,0.0,0.0,0.0,947.0656722908743,778.857433460076,450.3885712927756
7,male,0.0,0.0,0.0,-320.42573312737636,299.03736264258555,-29.431499524714827
8,female,0.0,0.0,0.0,947.0656722908743,778.857433460076,450.3885712927756
8,male,0.0,0.0,0.0,-320.42573312737636,299.03736264258555,-29.431499524714827
9,female,0.0,0.0,0.0,947.0656722908743,778.857433460076,450.3885712927756
9,male,0.0,0.0,0.0,-320.42573312737636,299.03736264258555,-29.431499524714827
10,female,0.0,0.0,0.0,947.0656722908743,778.857433460076,450.3885712927756
10,male,0.0,0.0,0.0,-320.42573312737636,299.03736264258555,-29.431499524714827
11,female,0.0,0.0,0.0,947.0656722908743,778.857433460076,450.3885712927756
11,male,0.0,0.0,0.0,-320.42573312737636,299.03736264258555,-29.431499524714827
12,female,0.0,0.0,0.0,947.0656722908743,778.857433460076,450.3885712927756
12,male,0.0,0.0,0.0,-320.42573312737636,299.03736264258555,-29.431499524714827
13,female,0.0,0.0,0.0,947.0656722908743,778.857433460076,450.3885712927756
13,male,0.0,0.0,0.0,-320.42573312737636,299.03736264258555,-29.431499524714827
14,female,0.0,0.0,0.0,947.0656722908743,778.857433460076,450.3885712927756
14,male,0.0,0.0,0.0,-320.42573312737636,299.03736264258555,-29.431499524714827
15,female,0.0,0.0,0.0,947.0656722908743,778.857433460076,450.3885712927756
15,male,0.0,0.0,0.0,-320.42573312737636,299.03736264258555,-29.431499524714827
16,female,0.0,0.0,0.0,947.0656722908743,778.857433460076,450.3885712927756
16,male,0.0,0.0,0.0,-320.42573312737636,299.03736264258555,-29.431499524714827
17,female,0.0,0.0,0.0,947.0656722908743,778.857433460076,450.3885712927756
17,male,0.0,0.0,0.0,-320.42573312737636,299.03736264258555,-29.431499524714827
18,female,0.0,0.0,0.0,947.0656722908743,778.857433460076,450.3885712927756
18,male,0.0,0.0,0.0,-320.42573312737636,299.03736264258555,-29.431499524714827
19,female,0.0,0.0,0.0,947.0656722908743,778.857433460076,450.3885712927756
19,male,0.0,0.0,0.0,-320.42573312737636,299.03736264258555,-29.431499524714827
20,female,0.0,0.0,0.0,947.0656722908743,778.857433460076,450.3885712927756
20,male,0.0,0.0,0.0,-320.42573312737636,299.03736264258555,-29.431499524714827
21,female,0.0,0.0,0.0,947.0656722908743,778.857433460076,450.3885712927756
21,male,0.0,0.0,0.0,-320.42573312737636,299.03736264258555,-29.431499524714827
22,female,0.0,0.0,0.0,947.0656722908743,778.857433460076,450.3885712927756
22,male,0.0,0.0,0.0,-320.42573312737636,299.03736264258555,-29.431499524714827
23,female,0.0,0.0,0.0,947.0656722908743,778.857433460076,450.3885712927756
23,male,0.0,0.0,0.0,-320.42573312737636,299.03736264258555,-29.431499524714827
24,female,0.0,0.0,0.0,947.0656722908743,778.857433460076,450.3885712927756
24,male,0.0,0.0,0.0,-320.42573312737636,299.03736264258555,-29.431499524714827
