age,sex,cs,nscv,cscv
0,male,1,1,1
1,male,1,1,1
2,male,1,1,1
3,male,1,1,1
4,male,1,1,1
5,male,1,1,1
6,male,1,1,1
7,male,1,1,1
8,male,1,1,1
9,male,1,1,1
10,male,1,1,1
11,male,1,1,1
12,male,1,1,1
13,male,1,1,1
14,male,1,1,1
15,male,1,1,1
16,male,1,1,1
17,male,1,1,1
18,male,1,1,1
19,male,1,1,1
20,male,1.29,1.0800400000000001,1.29
21,male,1.29,1.0800400000000001,1.29
22,male,1.29,1.0800400000000001,1.29
23,male,1.29,1.0800400000000001,1.29
24,male,1.29,1.0800400000000001,1.29
25,male,1.29,1.0800400000000001,1.29
26,male,1.29,1.0800400000000001,1.29
27,male,1.29,1.0800400000000001,1.29
28,male,1.29,1.0800400000000001,1.29
29,male,1.29,1.0800400000000001,1.29
30,male,1.29,1.0800400000000001,1.29
31,male,1.29,1.0800400000000001,1.29
32,male,1.29,1.0800400000000001,1.29
33,male,1.29,1.0800400000000001,1.29
34,male,1.29,1.0800400000000001,1.29
35,male,1.29,1.0800400000000001,1.29
36,male,1.29,1.0800400000000001,1.29
37,male,1.29,1.0800400000000001,1.29
38,male,1.29,1.0800400000000001,1.29
39,male,1.29,1.0800400000000001,1.29
40,male,1.29,1.0800400000000001,1.29
41,male,1.29,1.0800400000000001,1.29
42,male,1.29,1.0800400000000001,1.29
43,male,1.29,1.0800400000000001,1.29
44,male,1.29,1.0800400000000001,1.29
45,male,1.29,1.0800400000000001,1.29
46,male,1.29,1.0800400000000001,1.29
47,male,1.29,1.0800400000000001,1.29
48,male,1.29,1.0800400000000001,1.29
49,male,1.29,1.0800400000000001,1.29
50,male,1.29,1.0800400000000001,1.29
51,male,1.29,1.0800400000000001,1.29
52,male,1.29,1.0800400000000001,1.29
53,male,1.29,1.0800400000000001,1.29
54,male,1.29,1.0800400000000001,1.29
55,male,1.29,1.0800400000000001,1.29
56,male,1.29,1.0800400000000001,1.29
57,male,1.29,1.0800400000000001,1.29
58,male,1.29,1.0800400000000001,1.29
59,male,1.29,1.0800400000000001,1.29
60,male,1.29,1.0800400000000001,1.29
61,male,1.29,1.0800400000000001,1.29
62,male,1.29,1.0800400000000001,1.29
63,male,1.29,1.0800400000000001,1.29
64,male,1.29,1.0800400000000001,1.29
65,male,1.29,1.0800400000000001,1.29
66,male,1.29,1.0800400000000001,1.29
67,male,1.29,1.0800400000000001,1.29
68,male,1.29,1.0800400000000001,1.29
69,male,1.29,1.0800400000000001,1.29
70,male,1.29,1.0800400000000001,1.29
71,male,1.29,1.0800400000000001,1.29
72,male,1.29,1.0800400000000001,1.29
73,male,1.29,1.0800400000000001,1.29
74,male,1.29,1.0800400000000001,1.29
75,male,1.29,1.0800400000000001,1.29
76,male,1.29,1.0800400000000001,1.29
77,male,1.29,1.0800400000000001,1.29
78,male,1.29,1.0800400000000001,1.29
79,male,1.29,1.0800400000000001,1.29
80,male,1.29,1.0800400000000001,1.29
81,male,1.29,1.0800400000000001,1.29
82,male,1.29,1.0800400000000001,1.29
83,male,1.29,1.0800400000000001,1.29
84,male,1.29,1.0800400000000001,1.29
85,male,1.29,1.0800400000000001,1.29
86,male,1.29,1.0800400000000001,1.29
87,male,1.29,1.0800400000000001,1.29
88,male,1.29,1.0800400000000001,1.29
89,male,1.29,1.0800400000000001,1.29
90,male,1.29,1.0800400000000001,1.29
91,male,1.29,1.0800400000000001,1.29
92,male,1.29,1.0800400000000001,1.29
93,male,1.29,1.0800400000000001,1.29
94,male,1.29,1.0800400000000001,1.29
95,male,1.29,1.0800400000000001,1.29
96,male,1.29,1.0800400000000001,1.29
97,male,1.29,1.0800400000000001,1.29
98,male,1.29,1.0800400000000001,1.29
99,male,1.29,1.0800400000000001,1.29
100,male,1.29,1.0800400000000001,1.29
101,male,1.29,1.0800400000000001,1.29
102,male,1.29,1.0800400000000001,1.29
103,male,1.29,1.0800400000000001,1.29
104,male,1.29,1.0800400000000001,1.29
105,male,1.29,1.0800400000000001,1.29
106,male,1.29,1.0800400000000001,1.29
107,male,1.29,1.0800400000000001,1.29
108,male,1.29,1.0800400000000001,1.29
109,male,1.29,1.0800400000000001,1.29
0,female,1,1,1
1,female,1,1,1
2,female,1,1,1
3,female,1,1,1
4,female,1,1,1
5,female,1,1,1
6,female,1,1,1
7,female,1,1,1
8,female,1,1,1
9,female,1,1,1
10,female,1,1,1
11,female,1,1,1
12,female,1,1,1
13,female,1,1,1
14,female,1,1,1
15,female,1,1,1
16,female,1,1,1
17,female,1,1,1
18,female,1,1,1
19,female,1,1,1
20,female,1.29,1.0800400000000001,1.29
21,female,1.29,1.0800400000000001,1.29
22,female,1.29,1.0800400000000001,1.29
23,female,1.29,1.0800400000000001,1.29
24,female,1.29,1.0800400000000001,1.29
25,female,1.29,1.0800400000000001,1.29
26,female,1.29,1.0800400000000001,1.29
27,female,1.29,1.0800400000000001,1.29
28,female,1.29,1.0800400000000001,1.29
29,female,1.29,1.0800400000000001,1.29
30,female,1.29,1.0800400000000001,1.29
31,female,1.29,1.0800400000000001,1.29
32,female,1.29,1.0800400000000001,1.29
33,female,1.29,1.0800400000000001,1.29
34,female,1.29,1.0800400000000001,1.29
35,female,1.29,1.0800400000000001,1.29
36,female,1.29,1.0800400000000001,1.29
37,female,1.29,1.0800400000000001,1.29
38,female,1.29,1.0800400000000001,1.29
39,female,1.29,1.0800400000000001,1.29
40,female,1.29,1.0800400000000001,1.29
41,female,1.29,1.0800400000000001,1.29
42,female,1.29,1.0800400000000001,1.29
43,female,1.29,1.0800400000000001,1.29
44,female,1.29,1.0800400000000001,1.29
45,female,1.29,1.0800400000000001,1.29
46,female,1.29,1.0800400000000001,1.29
47,female,1.29,1.0800400000000001,1.29
48,female,1.29,1.0800400000000001,1.29
49,female,1.29,1.0800400000000001,1.29
50,female,1.29,1.0800400000000001,1.29
51,female,1.29,1.0800400000000001,1.29
52,female,1.29,1.0800400000000001,1.29
53,female,1.29,1.0800400000000001,1.29
54,female,1.29,1.0800400000000001,1.29
55,female,1.29,1.0800400000000001,1.29
56,female,1.29,1.0800400000000001,1.29
57,female,1.29,1.0800400000000001,1.29
58,female,1.29,1.0800400000000001,1.29
59,female,1.29,1.0800400000000001,1.29
60,female,1.29,1.0800400000000001,1.29
61,female,1.29,1.0800400000000001,1.29
62,female,1.29,1.0800400000000001,1.29
63,female,1.29,1.0800400000000001,1.29
64,female,1.29,1.0800400000000001,1.29
65,female,1.29,1.0800400000000001,1.29
66,female,1.29,1.0800400000000001,1.29
67,female,1.29,1.0800400000000001,1.29
68,female,1.29,1.0800400000000001,1.29
69,female,1.29,1.0800400000000001,1.29
70,female,1.29,1.0800400000000001,1.29
71,female,1.29,1.0800400000000001,1.29
72,female,1.29,1.0800400000000001,1.29
73,female,1.29,1.0800400000000001,1.29
74,female,1.29,1.0800400000000001,1.29
75,female,1.29,1.0800400000000001,1.29
76,female,1.29,1.0800400000000001,1.29
77,female,1.29,1.0800400000000001,1.29
78,female,1.29,1.0800400000000001,1.29
79,female,1.29,1.0800400000000001,1.29
80,female,1.29,1.0800400000000001,1.29
81,female,1.29,1.0800400000000001,1.29
82,female,1.29,1.0800400000000001,1.29
83,female,1.29,1.0800400000000001,1.29
84,female,1.29,1.0800400000000001,1.29
85,female,1.29,1.0800400000000001,1.29
86,female,1.29,1.0800400000000001,1.29
87,female,1.29,1.0800400000000001,1.29
88,female,1.29,1.0800400000000001,1.29
89,female,1.29,1.0800400000000001,1.29
90,female,1.29,1.0800400000000001,1.29
91,female,1.29,1.0800400000000001,1.29
92,female,1.29,1.0800400000000001,1.29
93,female,1.29,1.0800400000000001,1.29
94,female,1.29,1.0800400000000001,1.29
95,female,1.29,1.0800400000000001,1.29
96,female,1.29,1.0800400000000001,1.29
97,female,1.29,1.0800400000000001,1.29
98,female,1.29,1.0800400000000001,1.29
99,female,1.29,1.0800400000000001,1.29
100,female,1.29,1.0800400000000001,1.29
101,female,1.29,1.0800400000000001,1.29
102,female,1.29,1.0800400000000001,1.29
103,female,1.29,1.0800400000000001,1.29
104,female,1.29,1.0800400000000001,1.29
105,female,1.29,1.0800400000000001,1.29
106,female,1.29,1.0800400000000001,1.29
107,female,1.29,1.0800400000000001,1.29
108,female,1.29,1.0800400000000001,1.29
109,female,1.29,1.0800400000000001,1.29
